,Unnamed: 0,age,workclass,education,marital.status,occupation,relationship,race,sex,hours.per.week,native.country,income
20409,20409,30,Private,HS-grad,Married-civ-spouse,Exec-managerial,Other-relative,White,Female,40,United-States,<=50K
3695,3695,52,Private,Prof-school,Married-civ-spouse,Prof-specialty,Wife,White,Female,30,United-States,>50K
1523,1523,46,Private,Prof-school,Married-civ-spouse,Prof-specialty,Husband,White,Male,60,United-States,>50K
14833,14833,27,Private,Bachelors,Never-married,Exec-managerial,Not-in-family,White,Male,45,United-States,<=50K
5775,5775,28,Private,Bachelors,Married-civ-spouse,Adm-clerical,Husband,White,Male,40,United-States,<=50K
28754,28754,28,State-gov,Some-college,Divorced,Other-service,Unmarried,White,Male,40,United-States,<=50K
961,961,58,Private,Assoc-acdm,Married-civ-spouse,Machine-op-inspct,Husband,Black,Male,40,United-States,>50K
24969,24969,51,Private,HS-grad,Never-married,Handlers-cleaners,Own-child,White,Female,40,United-States,<=50K
6595,6595,34,Private,HS-grad,Married-civ-spouse,Machine-op-inspct,Husband,Black,Male,40,United-States,<=50K
31064,31064,37,Local-gov,HS-grad,Never-married,Craft-repair,Not-in-family,White,Male,40,United-States,<=50K
29187,29187,37,Private,Some-college,Divorced,Tech-support,Unmarried,White,Female,40,United-States,<=50K
74,74,39,Private,Masters,Married-civ-spouse,Exec-managerial,Wife,White,Female,65,United-States,>50K
20221,20221,29,Private,Bachelors,Never-married,Prof-specialty,Not-in-family,White,Male,40,United-States,<=50K
24034,24034,28,Self-emp-not-inc,Bachelors,Never-married,Prof-specialty,Not-in-family,White,Female,4,United-States,<=50K
30869,30869,52,Federal-gov,Bachelors,Married-civ-spouse,Exec-managerial,Husband,White,Male,45,United-States,>50K
10831,10831,38,Private,7th-8th,Married-civ-spouse,Machine-op-inspct,Wife,White,Female,50,Canada,>50K
2414,2414,39,Private,Assoc-acdm,Married-civ-spouse,Craft-repair,Husband,White,Male,60,Germany,>50K
28516,28516,31,Private,Some-college,Married-civ-spouse,Adm-clerical,Husband,Asian-Pac-Islander,Male,50,India,<=50K
11542,11542,51,Private,Bachelors,Married-civ-spouse,Prof-specialty,Husband,White,Male,40,United-States,>50K
31582,31582,33,Private,HS-grad,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,55,United-States,>50K
22760,22760,35,Private,HS-grad,Divorced,Other-service,Not-in-family,Black,Male,40,United-States,<=50K
22261,22261,52,Private,5th-6th,Never-married,Machine-op-inspct,Not-in-family,White,Female,40,?,<=50K
14105,14105,58,State-gov,HS-grad,Never-married,Adm-clerical,Not-in-family,White,Female,16,United-States,<=50K
24512,24512,27,Private,HS-grad,Married-civ-spouse,Sales,Husband,White,Male,45,United-States,<=50K
4228,4228,33,Private,9th,Divorced,Craft-repair,Unmarried,White,Male,55,United-States,<=50K
20315,20315,43,Private,Some-college,Married-civ-spouse,Transport-moving,Husband,White,Male,60,United-States,<=50K
7757,7757,41,Local-gov,Some-college,Divorced,Adm-clerical,Unmarried,White,Female,40,United-States,<=50K
13925,13925,17,Private,10th,Never-married,Other-service,Own-child,White,Female,40,United-States,<=50K
24119,24119,35,State-gov,HS-grad,Divorced,Protective-serv,Unmarried,White,Female,40,United-States,<=50K
13789,13789,48,Self-emp-not-inc,HS-grad,Married-civ-spouse,Craft-repair,Husband,White,Male,40,United-States,<=50K
21973,21973,58,Private,HS-grad,Married-civ-spouse,Adm-clerical,Wife,White,Female,40,United-States,>50K
4247,4247,43,Self-emp-not-inc,Masters,Divorced,Exec-managerial,Unmarried,White,Female,45,United-States,>50K
6868,6868,42,Self-emp-not-inc,HS-grad,Married-civ-spouse,Exec-managerial,Husband,White,Male,50,United-States,<=50K
13330,13330,19,?,HS-grad,Never-married,?,Own-child,White,Male,40,United-States,<=50K
2794,2794,38,Private,Some-college,Married-civ-spouse,Sales,Husband,White,Male,40,United-States,>50K
11647,11647,46,Private,Bachelors,Married-civ-spouse,Exec-managerial,Husband,White,Male,40,United-States,>50K
21766,21766,47,Private,Some-college,Never-married,Adm-clerical,Not-in-family,White,Female,40,United-States,>50K
13103,13103,21,Private,Assoc-acdm,Never-married,Other-service,Own-child,White,Female,30,United-States,<=50K
25578,25578,59,Private,7th-8th,Married-civ-spouse,Craft-repair,Husband,White,Male,40,United-States,<=50K
14461,14461,35,?,HS-grad,Never-married,?,Own-child,White,Male,40,United-States,<=50K
5211,5211,31,Private,HS-grad,Never-married,Other-service,Unmarried,White,Female,40,Mexico,<=50K
743,743,57,Private,HS-grad,Married-civ-spouse,Transport-moving,Husband,White,Male,40,United-States,>50K
21589,21589,59,Local-gov,10th,Married-civ-spouse,Craft-repair,Husband,White,Male,40,United-States,<=50K
20632,20632,29,Local-gov,Bachelors,Never-married,Prof-specialty,Not-in-family,White,Male,40,United-States,<=50K
30845,30845,51,Local-gov,HS-grad,Divorced,Protective-serv,Unmarried,White,Male,52,United-States,<=50K
28343,28343,17,?,10th,Never-married,?,Own-child,Black,Male,20,United-States,<=50K
14835,14835,44,Private,Some-college,Divorced,Sales,Unmarried,White,Male,55,United-States,>50K
16855,16855,36,State-gov,Some-college,Divorced,Transport-moving,Not-in-family,White,Male,60,United-States,<=50K
15645,15645,63,Private,HS-grad,Widowed,Adm-clerical,Unmarried,White,Female,40,United-States,<=50K
14100,14100,41,Private,HS-grad,Divorced,Machine-op-inspct,Own-child,White,Male,40,United-States,<=50K
24282,24282,48,Private,Bachelors,Married-civ-spouse,Prof-specialty,Husband,White,Male,55,United-States,<=50K
25984,25984,43,Self-emp-inc,Bachelors,Married-civ-spouse,Sales,Other-relative,Asian-Pac-Islander,Male,45,India,<=50K
7471,7471,41,Private,HS-grad,Married-civ-spouse,Tech-support,Husband,White,Male,40,United-States,<=50K
25803,25803,20,?,Assoc-acdm,Never-married,?,Not-in-family,White,Male,40,United-States,<=50K
22251,22251,60,Private,Assoc-acdm,Married-civ-spouse,Adm-clerical,Husband,White,Male,40,United-States,>50K
15510,15510,49,Federal-gov,Bachelors,Married-civ-spouse,Exec-managerial,Husband,White,Male,40,United-States,>50K
5566,5566,38,Private,Bachelors,Married-civ-spouse,Adm-clerical,Husband,White,Male,40,United-States,<=50K
28028,28028,23,Private,HS-grad,Separated,Machine-op-inspct,Unmarried,White,Female,48,United-States,<=50K
11612,11612,39,Private,Some-college,Divorced,Tech-support,Not-in-family,White,Female,40,Poland,<=50K
18381,18381,19,Private,HS-grad,Never-married,Adm-clerical,Not-in-family,White,Female,42,United-States,<=50K
14302,14302,31,Private,Some-college,Never-married,Machine-op-inspct,Not-in-family,White,Female,50,United-States,<=50K
21746,21746,31,Private,HS-grad,Married-civ-spouse,Sales,Wife,White,Female,18,United-States,<=50K
22738,22738,18,Private,11th,Never-married,Craft-repair,Own-child,White,Male,25,United-States,<=50K
26892,26892,42,Private,HS-grad,Married-civ-spouse,Transport-moving,Husband,White,Male,40,United-States,<=50K
14298,14298,37,Private,HS-grad,Divorced,Craft-repair,Not-in-family,White,Male,50,United-States,<=50K
1921,1921,48,Private,Bachelors,Married-civ-spouse,Exec-managerial,Husband,White,Male,50,United-States,>50K
888,888,36,Private,Some-college,Married-civ-spouse,Craft-repair,Husband,White,Male,40,United-States,>50K
19520,19520,35,Private,HS-grad,Separated,Other-service,Not-in-family,Black,Female,40,United-States,<=50K
17902,17902,32,Private,Masters,Married-civ-spouse,Prof-specialty,Husband,Asian-Pac-Islander,Male,40,India,<=50K
21765,21765,32,Local-gov,Bachelors,Never-married,Prof-specialty,Not-in-family,White,Female,50,United-States,<=50K
13690,13690,43,Private,HS-grad,Never-married,Other-service,Unmarried,Black,Female,40,United-States,<=50K
10080,10080,22,Private,Some-college,Never-married,Farming-fishing,Own-child,White,Male,25,United-States,<=50K
14629,14629,27,Private,Bachelors,Married-civ-spouse,Other-service,Husband,White,Male,40,United-States,<=50K
14130,14130,37,Private,HS-grad,Married-civ-spouse,Other-service,Husband,White,Male,40,Guatemala,<=50K
959,959,45,Private,Some-college,Married-civ-spouse,Craft-repair,Husband,White,Male,40,United-States,>50K
23507,23507,56,Federal-gov,Some-college,Divorced,Adm-clerical,Not-in-family,Black,Female,40,United-States,<=50K
14094,14094,50,?,HS-grad,Married-civ-spouse,?,Husband,Black,Male,40,United-States,<=50K
11910,11910,29,Private,HS-grad,Married-civ-spouse,Adm-clerical,Wife,White,Female,40,United-States,<=50K
16691,16691,43,Private,Masters,Married-civ-spouse,Prof-specialty,Husband,White,Male,40,United-States,>50K
16516,16516,23,Private,HS-grad,Never-married,Sales,Own-child,White,Male,40,United-States,<=50K
10711,10711,17,Private,11th,Never-married,Sales,Own-child,White,Female,20,United-States,<=50K
29730,29730,48,Private,Some-college,Married-civ-spouse,Exec-managerial,Husband,White,Male,65,United-States,>50K
15496,15496,23,Private,Bachelors,Never-married,Adm-clerical,Unmarried,Black,Female,40,United-States,<=50K
22035,22035,60,Private,HS-grad,Married-civ-spouse,Sales,Husband,White,Male,50,United-States,<=50K
11249,11249,50,Private,Bachelors,Divorced,Sales,Unmarried,Black,Male,40,United-States,<=50K
31647,31647,21,Private,HS-grad,Never-married,Handlers-cleaners,Own-child,White,Male,40,United-States,<=50K
27127,27127,31,Private,10th,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,40,United-States,<=50K
28522,28522,21,Private,9th,Never-married,Other-service,Own-child,Amer-Indian-Eskimo,Male,40,United-States,<=50K
14255,14255,18,Private,HS-grad,Never-married,Sales,Own-child,White,Female,20,United-States,<=50K
11714,11714,22,?,HS-grad,Never-married,?,Unmarried,Black,Female,40,United-States,<=50K
25293,25293,24,Local-gov,Bachelors,Never-married,Prof-specialty,Own-child,White,Female,20,United-States,<=50K
27344,27344,22,Private,HS-grad,Never-married,Other-service,Own-child,White,Female,36,United-States,<=50K
25963,25963,35,Private,Some-college,Married-civ-spouse,Sales,Husband,White,Male,46,United-States,<=50K
20892,20892,45,Private,Some-college,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,40,United-States,<=50K
32444,32444,61,Self-emp-not-inc,7th-8th,Married-civ-spouse,Farming-fishing,Husband,White,Male,56,United-States,<=50K
11514,11514,26,Private,Assoc-voc,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,80,United-States,<=50K
10756,10756,22,Private,Some-college,Never-married,Transport-moving,Not-in-family,White,Male,32,United-States,<=50K
1963,1963,41,Private,Doctorate,Married-civ-spouse,Exec-managerial,Husband,White,Male,50,Canada,>50K
9439,9439,26,Private,Some-college,Never-married,Tech-support,Own-child,White,Female,40,United-States,<=50K
2385,2385,48,Self-emp-inc,HS-grad,Married-civ-spouse,Exec-managerial,Husband,White,Male,40,United-States,>50K
26360,26360,41,Self-emp-not-inc,Some-college,Married-civ-spouse,Exec-managerial,Husband,White,Male,40,United-States,>50K
2634,2634,51,Private,Masters,Married-civ-spouse,Prof-specialty,Husband,White,Male,45,United-States,>50K
25160,25160,65,State-gov,7th-8th,Widowed,Other-service,Other-relative,White,Female,24,United-States,<=50K
31844,31844,39,Private,11th,Married-civ-spouse,Transport-moving,Husband,White,Male,40,United-States,<=50K
12056,12056,38,Private,Assoc-acdm,Never-married,Prof-specialty,Unmarried,White,Female,36,United-States,<=50K
2201,2201,35,Private,Masters,Never-married,Prof-specialty,Not-in-family,White,Male,55,?,>50K
4898,4898,37,Private,5th-6th,Separated,Farming-fishing,Not-in-family,White,Male,32,Guatemala,<=50K
13081,13081,18,?,Some-college,Never-married,?,Own-child,White,Male,30,United-States,<=50K
19600,19600,20,State-gov,Some-college,Never-married,Prof-specialty,Own-child,White,Female,15,United-States,<=50K
8770,8770,52,Self-emp-not-inc,Some-college,Married-civ-spouse,Sales,Husband,White,Male,45,United-States,<=50K
12596,12596,32,?,HS-grad,Married-civ-spouse,?,Husband,White,Male,40,?,<=50K
18741,18741,26,Private,Some-college,Never-married,Other-service,Not-in-family,White,Female,35,United-States,<=50K
24980,24980,43,Local-gov,Assoc-voc,Married-civ-spouse,Transport-moving,Husband,White,Male,22,United-States,<=50K
13314,13314,51,Private,Some-college,Divorced,Craft-repair,Not-in-family,White,Male,48,United-States,>50K
6413,6413,18,Local-gov,12th,Never-married,Protective-serv,Own-child,White,Male,40,United-States,<=50K
23949,23949,50,Self-emp-not-inc,Prof-school,Divorced,Sales,Not-in-family,White,Male,50,United-States,>50K
17286,17286,35,Private,Some-college,Married-civ-spouse,Transport-moving,Husband,White,Male,40,Germany,<=50K
2212,2212,43,Federal-gov,Assoc-voc,Never-married,Prof-specialty,Not-in-family,White,Female,40,United-States,>50K
12338,12338,31,Private,9th,Never-married,Machine-op-inspct,Not-in-family,White,Male,40,United-States,<=50K
22395,22395,63,Private,7th-8th,Widowed,Other-service,Not-in-family,White,Female,41,United-States,<=50K
24464,24464,50,Local-gov,7th-8th,Married-civ-spouse,Transport-moving,Husband,White,Male,40,United-States,<=50K
11215,11215,45,Private,Bachelors,Separated,Exec-managerial,Not-in-family,White,Female,55,United-States,<=50K
8850,8850,49,Private,Assoc-acdm,Divorced,Exec-managerial,Not-in-family,White,Female,40,United-States,<=50K
25055,25055,43,Private,HS-grad,Divorced,Machine-op-inspct,Not-in-family,Black,Female,40,United-States,<=50K
31912,31912,58,Local-gov,Some-college,Married-civ-spouse,Adm-clerical,Wife,Black,Female,55,United-States,<=50K
13587,13587,37,Private,HS-grad,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,40,United-States,<=50K
617,617,53,Private,Bachelors,Married-civ-spouse,Prof-specialty,Husband,White,Male,40,United-States,>50K
14572,14572,44,Private,Some-college,Never-married,Other-service,Not-in-family,White,Male,35,United-States,<=50K
2620,2620,30,Private,Bachelors,Married-civ-spouse,Prof-specialty,Husband,White,Male,50,United-States,>50K
30718,30718,19,Private,HS-grad,Never-married,Handlers-cleaners,Not-in-family,White,Male,40,United-States,<=50K
17773,17773,32,?,5th-6th,Never-married,?,Unmarried,White,Female,45,Mexico,<=50K
11127,11127,18,Private,Some-college,Never-married,Other-service,Own-child,White,Female,30,United-States,<=50K
325,325,27,Private,HS-grad,Never-married,Other-service,Not-in-family,White,Male,40,United-States,<=50K
30147,30147,34,Private,HS-grad,Married-civ-spouse,Adm-clerical,Husband,White,Male,45,United-States,>50K
32155,32155,26,Private,HS-grad,Never-married,Other-service,Other-relative,White,Male,40,United-States,<=50K
5289,5289,45,Self-emp-not-inc,HS-grad,Married-civ-spouse,Craft-repair,Husband,White,Male,40,United-States,>50K
12840,12840,65,Private,Some-college,Widowed,Other-service,Unmarried,White,Female,24,United-States,<=50K
15742,15742,25,Private,Some-college,Never-married,Machine-op-inspct,Not-in-family,White,Female,25,United-States,<=50K
1237,1237,23,Private,Bachelors,Never-married,Sales,Not-in-family,White,Male,12,United-States,<=50K
9933,9933,26,Private,HS-grad,Never-married,Adm-clerical,Unmarried,Black,Female,30,United-States,<=50K
31840,31840,31,Federal-gov,Assoc-acdm,Married-civ-spouse,Sales,Husband,Asian-Pac-Islander,Male,40,United-States,<=50K
27585,27585,39,Private,Assoc-acdm,Never-married,Craft-repair,Own-child,White,Male,40,United-States,<=50K
27783,27783,38,Self-emp-not-inc,HS-grad,Divorced,Farming-fishing,Not-in-family,White,Male,50,United-States,<=50K
14868,14868,40,State-gov,9th,Separated,Machine-op-inspct,Not-in-family,Black,Male,40,United-States,<=50K
29577,29577,28,Private,Some-college,Married-civ-spouse,Craft-repair,Husband,White,Male,60,United-States,>50K
20104,20104,34,Private,Some-college,Separated,Sales,Not-in-family,White,Male,45,United-States,<=50K
26117,26117,32,Private,Some-college,Divorced,Handlers-cleaners,Not-in-family,White,Male,16,United-States,<=50K
21847,21847,20,Private,HS-grad,Never-married,Farming-fishing,Own-child,White,Male,40,United-States,<=50K
25756,25756,20,Private,HS-grad,Never-married,Handlers-cleaners,Own-child,White,Male,40,United-States,<=50K
2907,2907,28,Private,Bachelors,Married-civ-spouse,Sales,Husband,White,Male,42,United-States,>50K
24720,24720,24,Private,Bachelors,Never-married,Other-service,Not-in-family,Asian-Pac-Islander,Male,32,United-States,<=50K
27736,27736,26,Private,Bachelors,Never-married,Exec-managerial,Not-in-family,White,Female,40,United-States,<=50K
24408,24408,26,Private,HS-grad,Never-married,Other-service,Not-in-family,White,Male,40,Mexico,<=50K
23991,23991,40,Private,Bachelors,Married-spouse-absent,Transport-moving,Own-child,Other,Male,45,?,<=50K
13651,13651,44,Self-emp-not-inc,Some-college,Separated,Sales,Unmarried,White,Male,60,United-States,<=50K
9214,9214,60,Self-emp-not-inc,7th-8th,Married-civ-spouse,Craft-repair,Husband,White,Male,40,United-States,<=50K
13706,13706,31,Private,HS-grad,Never-married,Craft-repair,Unmarried,White,Male,40,United-States,<=50K
28318,28318,19,Private,11th,Never-married,Machine-op-inspct,Own-child,White,Male,40,United-States,<=50K
28472,28472,42,?,9th,Never-married,?,Own-child,Black,Male,35,United-States,<=50K
12565,12565,35,Federal-gov,Bachelors,Never-married,Tech-support,Not-in-family,Asian-Pac-Islander,Male,28,?,<=50K
27707,27707,34,Local-gov,Assoc-voc,Divorced,Protective-serv,Own-child,Asian-Pac-Islander,Male,40,United-States,<=50K
12008,12008,51,Private,HS-grad,Married-civ-spouse,Adm-clerical,Husband,White,Male,50,United-States,<=50K
30737,30737,34,Private,HS-grad,Married-civ-spouse,Craft-repair,Husband,White,Male,40,United-States,<=50K
13532,13532,18,?,11th,Never-married,?,Unmarried,Black,Female,50,United-States,<=50K
4549,4549,26,Federal-gov,Some-college,Never-married,Adm-clerical,Unmarried,White,Female,15,United-States,<=50K
20523,20523,40,Private,Some-college,Married-civ-spouse,Tech-support,Husband,White,Male,55,United-States,>50K
15309,15309,55,Private,HS-grad,Divorced,Other-service,Not-in-family,White,Male,40,?,<=50K
18178,18178,48,Self-emp-not-inc,Some-college,Divorced,Handlers-cleaners,Own-child,White,Female,40,United-States,<=50K
4758,4758,35,Self-emp-not-inc,Assoc-acdm,Never-married,Farming-fishing,Not-in-family,White,Male,40,United-States,<=50K
27337,27337,58,Private,HS-grad,Divorced,Adm-clerical,Not-in-family,White,Female,40,United-States,<=50K
439,439,45,Local-gov,Masters,Married-civ-spouse,Prof-specialty,Wife,White,Female,35,United-States,>50K
30929,30929,49,Private,HS-grad,Never-married,Other-service,Not-in-family,White,Female,40,United-States,<=50K
29135,29135,46,Local-gov,HS-grad,Married-civ-spouse,Machine-op-inspct,Husband,Black,Male,40,United-States,<=50K
23030,23030,24,Private,HS-grad,Never-married,Craft-repair,Own-child,White,Male,40,United-States,<=50K
4183,4183,55,Local-gov,Masters,Widowed,Prof-specialty,Unmarried,White,Female,50,United-States,<=50K
11561,11561,18,?,HS-grad,Never-married,?,Own-child,Black,Female,25,United-States,<=50K
32532,32532,29,Private,HS-grad,Separated,Sales,Unmarried,White,Female,35,United-States,<=50K
276,276,34,Private,Assoc-acdm,Married-civ-spouse,Tech-support,Husband,White,Male,10,United-States,<=50K
5165,5165,43,Private,Bachelors,Separated,Prof-specialty,Unmarried,White,Female,40,United-States,<=50K
11616,11616,29,Private,Assoc-voc,Never-married,Tech-support,Not-in-family,White,Male,40,United-States,<=50K
7653,7653,52,Self-emp-not-inc,Assoc-voc,Divorced,Prof-specialty,Not-in-family,White,Female,35,United-States,<=50K
10778,10778,39,Local-gov,Masters,Married-civ-spouse,Prof-specialty,Husband,White,Male,45,United-States,>50K
2411,2411,52,Federal-gov,Bachelors,Married-civ-spouse,Tech-support,Husband,Black,Male,40,United-States,>50K
27806,27806,18,Private,HS-grad,Never-married,Handlers-cleaners,Own-child,White,Male,25,United-States,<=50K
27373,27373,60,?,HS-grad,Divorced,?,Not-in-family,White,Female,40,United-States,<=50K
21020,21020,32,Private,HS-grad,Never-married,Adm-clerical,Not-in-family,White,Male,40,United-States,<=50K
20928,20928,28,Private,HS-grad,Never-married,Exec-managerial,Not-in-family,White,Female,45,United-States,<=50K
4106,4106,39,Private,Masters,Divorced,Prof-specialty,Own-child,White,Female,40,United-States,<=50K
8795,8795,44,Private,Masters,Married-civ-spouse,Exec-managerial,Husband,White,Male,50,United-States,>50K
17638,17638,47,Private,Bachelors,Married-civ-spouse,Exec-managerial,Husband,White,Male,45,United-States,>50K
13786,13786,50,Private,Some-college,Divorced,Craft-repair,Not-in-family,Black,Female,45,United-States,<=50K
31195,31195,19,Private,Some-college,Never-married,Sales,Own-child,Asian-Pac-Islander,Male,35,Laos,<=50K
18820,18820,52,Private,Bachelors,Married-spouse-absent,Prof-specialty,Not-in-family,White,Male,30,United-States,>50K
899,899,28,Local-gov,HS-grad,Never-married,Protective-serv,Other-relative,Black,Male,40,United-States,<=50K
15517,15517,22,Private,Assoc-acdm,Never-married,Handlers-cleaners,Own-child,White,Male,20,United-States,<=50K
27302,27302,45,Private,HS-grad,Divorced,Adm-clerical,Unmarried,White,Female,40,United-States,<=50K
16260,16260,27,Private,Some-college,Divorced,Adm-clerical,Own-child,White,Female,20,United-States,<=50K
6602,6602,80,Self-emp-not-inc,7th-8th,Married-civ-spouse,Farming-fishing,Husband,White,Male,30,United-States,<=50K
30936,30936,60,Local-gov,Masters,Married-civ-spouse,Prof-specialty,Husband,White,Male,40,?,>50K
30694,30694,48,Private,Masters,Married-civ-spouse,Prof-specialty,Husband,White,Male,45,United-States,>50K
281,281,53,Local-gov,HS-grad,Married-civ-spouse,Other-service,Husband,White,Male,45,United-States,<=50K
23444,23444,48,Private,Some-college,Never-married,Craft-repair,Not-in-family,Black,Female,40,United-States,<=50K
11021,11021,39,Private,HS-grad,Married-civ-spouse,Other-service,Husband,White,Male,40,United-States,>50K
30956,30956,23,Private,HS-grad,Never-married,Other-service,Unmarried,White,Male,35,Mexico,<=50K
25745,25745,37,Private,HS-grad,Married-civ-spouse,Transport-moving,Husband,White,Male,50,United-States,<=50K
11339,11339,20,?,Some-college,Never-married,?,Own-child,White,Female,40,United-States,<=50K
7702,7702,35,Private,7th-8th,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,40,Mexico,<=50K
252,252,26,Private,Some-college,Married-civ-spouse,Adm-clerical,Husband,White,Male,40,United-States,<=50K
22470,22470,36,Self-emp-not-inc,Bachelors,Married-civ-spouse,Farming-fishing,Husband,White,Male,50,United-States,<=50K
28108,28108,28,Private,7th-8th,Married-civ-spouse,Farming-fishing,Husband,White,Male,40,Mexico,<=50K
5374,5374,35,?,Assoc-acdm,Never-married,?,Not-in-family,White,Male,55,United-States,<=50K
20147,20147,38,Private,Bachelors,Married-civ-spouse,Sales,Husband,White,Male,40,United-States,>50K
15943,15943,22,Private,Some-college,Never-married,Other-service,Not-in-family,White,Female,50,United-States,<=50K
20047,20047,41,Self-emp-not-inc,HS-grad,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,25,United-States,<=50K
8966,8966,31,Private,Some-college,Never-married,Adm-clerical,Other-relative,White,Male,40,United-States,<=50K
7353,7353,23,Private,Assoc-voc,Married-civ-spouse,Craft-repair,Husband,White,Male,40,United-States,<=50K
16228,16228,59,Private,Some-college,Divorced,Machine-op-inspct,Not-in-family,White,Male,56,United-States,<=50K
17852,17852,21,Private,Some-college,Never-married,Adm-clerical,Own-child,White,Male,20,United-States,<=50K
8635,8635,38,Private,Some-college,Divorced,Craft-repair,Own-child,White,Male,58,Poland,<=50K
21180,21180,43,State-gov,Prof-school,Married-civ-spouse,Prof-specialty,Husband,Black,Male,40,United-States,<=50K
3544,3544,62,?,7th-8th,Married-civ-spouse,?,Husband,White,Male,50,United-States,<=50K
22600,22600,54,Self-emp-not-inc,HS-grad,Married-civ-spouse,Other-service,Husband,Black,Male,45,United-States,<=50K
22680,22680,51,Private,Bachelors,Married-civ-spouse,Exec-managerial,Husband,White,Male,60,United-States,>50K
29219,29219,63,Private,11th,Never-married,Farming-fishing,Not-in-family,White,Male,12,United-States,<=50K
3858,3858,33,Private,HS-grad,Married-civ-spouse,Protective-serv,Husband,White,Male,16,United-States,<=50K
8839,8839,40,Private,HS-grad,Divorced,Machine-op-inspct,Not-in-family,White,Female,40,United-States,<=50K
14142,14142,47,Private,Doctorate,Married-civ-spouse,Prof-specialty,Husband,White,Male,50,United-States,>50K
27378,27378,49,State-gov,Bachelors,Married-civ-spouse,Exec-managerial,Husband,White,Male,45,United-States,>50K
19467,19467,36,Private,HS-grad,Separated,Adm-clerical,Unmarried,White,Female,37,United-States,<=50K
20620,20620,30,Private,HS-grad,Married-civ-spouse,Transport-moving,Husband,White,Male,40,United-States,<=50K
4481,4481,29,Local-gov,Bachelors,Never-married,Protective-serv,Not-in-family,White,Male,56,United-States,<=50K
3468,3468,67,?,HS-grad,Married-civ-spouse,?,Husband,White,Male,11,United-States,<=50K
11031,11031,42,Private,HS-grad,Divorced,Prof-specialty,Not-in-family,White,Female,45,United-States,<=50K
21596,21596,29,Self-emp-not-inc,Assoc-voc,Married-civ-spouse,Farming-fishing,Husband,White,Male,50,United-States,<=50K
25562,25562,36,Private,Some-college,Separated,Craft-repair,Not-in-family,White,Male,40,United-States,<=50K
